State,Name of City
Punjab,Hoshiarpur
Jammu and Kashmir,Baramula
Andhra Pradesh,Adoni
Haryana,Jind
Rajasthan,Tonk
Andhra Pradesh,Tenali
Tamil Nadu,Kancheepuram
Gujarat,Vapi
Haryana,Sirsa
Gujarat,Navsari
Telangana,Mahbubnagar
Odisha,Puri
Karnataka,Robertson Pet
Tamil Nadu,Erode
Punjab,Batala
Uttarakhand,Haldwani-cum-Kathgodam
Madhya Pradesh,Vidisha
Bihar,Saharsa
Haryana,Thanesar
Andhra Pradesh,Chittoor
Gujarat,Veraval
Uttar Pradesh,Lakhimpur
Uttar Pradesh,Sitapur
Andhra Pradesh,Hindupur
West Bengal,Santipur
West Bengal,Balurghat
Madhya Pradesh,Ganjbasoda
Punjab,Moga
Andhra Pradesh,Proddatur
Uttarakhand,Srinagar
West Bengal,Medinipur
West Bengal,Habra
Bihar,Sasaram
Bihar,Hajipur
Gujarat,Bhuj
Madhya Pradesh,Shivpuri
West Bengal,Ranaghat
Himachal Pradesh,Shimla
Tamil Nadu,Tiruvannamalai
Haryana,Kaithal
Chhattisgarh,Rajnandgaon
Gujarat,Godhra
Jharkhand,Hazaribag
Andhra Pradesh,Bhimavaram
Madhya Pradesh,Mandsaur
Assam,Dibrugarh
Karnataka,Kolar
West Bengal,Bankura
Karnataka,Mandya
Bihar,Dehri-on-Sone
Andhra Pradesh,Madanapalle
Punjab,Malerkotla
Uttar Pradesh,Lalitpur
Bihar,Bettiah
Tamil Nadu,Pollachi
Punjab,Khanna
Madhya Pradesh,Neemuch
Haryana,Palwal
Gujarat,Palanpur
Andhra Pradesh,Guntakal
West Bengal,Nabadwip
Karnataka,Udupi
Chhattisgarh,Jagdalpur
Bihar,Motihari
Uttar Pradesh,Pilibhit
Nagaland,Dimapur
Punjab,Mohali
Rajasthan,Sadulpur
Tamil Nadu,Rajapalayam
Andhra Pradesh,Dharmavaram
Uttarakhand,Kashipur
Tamil Nadu,Sivakasi
West Bengal,Darjiling
Karnataka,Chikkamagaluru
Andhra Pradesh,Gudivada
Odisha,Baleshwar Town
Telangana,Mancherial
Andhra Pradesh,Srikakulam
Telangana,Adilabad
Maharashtra,Yavatmal
Punjab,Barnala
Assam,Nagaon
Andhra Pradesh,Narasaraopet
Chhattisgarh,Raigarh
Uttarakhand,Roorkee
Gujarat,Valsad
Chhattisgarh,Ambikapur
Jharkhand,Giridih
Uttar Pradesh,Chandausi
West Bengal,Purulia
Gujarat,Patan
Bihar,Bagaha
Uttar Pradesh,Hardoi 
Maharashtra,Achalpur
Maharashtra,Osmanabad
Gujarat,Deesa
Maharashtra,Nandurbar
Uttar Pradesh,Azamgarh
Jharkhand,Ramgarh
Punjab,Firozpur
Odisha,Baripada Town
Karnataka,Karwar
Bihar,Siwan
Andhra Pradesh,Rajampet
Tamil Nadu,Pudukkottai
Jammu and Kashmir,Anantnag
Andhra Pradesh,Tadpatri
Maharashtra,Satara
Odisha,Bhadrak
Bihar,Kishanganj
Telangana,Suryapet
Maharashtra,Wardha
Karnataka,Ranebennuru
Gujarat,Amreli
Tamil Nadu,Neyveli (TS)
Bihar,Jamalpur
Goa,Marmagao
Maharashtra,Udgir
Andhra Pradesh,Tadepalligudem
Tamil Nadu,Nagapattinam
Bihar,Buxar
Maharashtra,Aurangabad
Bihar,Jehanabad
Punjab,Phagwara
Uttar Pradesh,Khair
Rajasthan,Sawai Madhopur
Punjab,Kapurthala
Andhra Pradesh,Chilakaluripet
Bihar,Aurangabad
Kerala,Malappuram
Haryana,Rewari
Rajasthan,Nagaur
Uttar Pradesh,Sultanpur
Madhya Pradesh,Nagda
Andaman and Nicobar Islands,Port Blair
Bihar,Lakhisarai
Goa,Panaji
Assam,Tinsukia
Madhya Pradesh,Itarsi
Nagaland,Kohima
Odisha,Balangir
Bihar,Nawada
Odisha,Jharsuguda
Telangana,Jagtial
Tamil Nadu,Viluppuram
Maharashtra,Amalner
Punjab,Zirakpur
Uttar Pradesh,Tanda
Tamil Nadu,Tiruchengode
Uttar Pradesh,Nagina
Andhra Pradesh,Yemmiganur
Tamil Nadu,Vaniyambadi
Madhya Pradesh,Sarni
Tamil Nadu,Theni Allinagaram
Goa,Margao
Maharashtra,Akot
Madhya Pradesh,Sehore
Madhya Pradesh,Mhow Cantonment
Punjab,Kot Kapura
Rajasthan,Makrana
Maharashtra,Pandharpur
Telangana,Miryalaguda
Uttar Pradesh,Shamli
Madhya Pradesh,Seoni
Karnataka,Ranibennur
Andhra Pradesh,Kadiri
Maharashtra,Shrirampur
Uttarakhand,Rudrapur
Maharashtra,Parli
Uttar Pradesh,Najibabad
Telangana,Nirmal
Tamil Nadu,Udhagamandalam
Uttar Pradesh,Shikohabad
Jharkhand,Jhumri Tilaiya
Tamil Nadu,Aruppukkottai
Kerala,Ponnani
Bihar,Jamui
Bihar,Sitamarhi
Andhra Pradesh,Chirala
Gujarat,Anjar
Puducherry,Karaikal
Haryana,Hansi
Andhra Pradesh,Anakapalle
Chhattisgarh,Mahasamund
Punjab,Faridkot
Jharkhand,Saunda
Gujarat,Dhoraji
Tamil Nadu,Paramakudi
Madhya Pradesh,Balaghat
Rajasthan,Sujangarh
Gujarat,Khambhat
Punjab,Muktsar
Punjab,Rajpura
Andhra Pradesh,Kavali
Chhattisgarh,Dhamtari
Madhya Pradesh,Ashok Nagar
Rajasthan,Sardarshahar
Gujarat,Mahuva
Odisha,Bargarh
Telangana,Kamareddy
Jharkhand,Sahibganj
Telangana,Kothagudem
Karnataka,Ramanagaram
Karnataka,Gokak
Madhya Pradesh,Tikamgarh
Bihar,Araria
Uttarakhand,Rishikesh
Madhya Pradesh,Shahdol
Jharkhand,Medininagar (Daltonganj)
Tamil Nadu,Arakkonam
Maharashtra,Washim
Punjab,Sangrur
Telangana,Bodhan
Punjab,Fazilka
Andhra Pradesh,Palacole
Gujarat,Keshod
Andhra Pradesh,Sullurpeta
Gujarat,Wadhwan
Punjab,Gurdaspur
Kerala,Vatakara
Meghalaya,Tura
Haryana,Narnaul
Punjab,Kharar
Karnataka,Yadgir
Maharashtra,Ambejogai
Gujarat,Ankleshwar
Gujarat,Savarkundla
Odisha,Paradip
Tamil Nadu,Virudhachalam
Kerala,Kanhangad
Gujarat,Kadi
Tamil Nadu,Srivilliputhur
Punjab,Gobindgarh
Tamil Nadu,Tindivanam
Punjab,Mansa
Kerala,Taliparamba
Maharashtra,Manmad
Andhra Pradesh,Tanuku
Andhra Pradesh,Rayachoti
Tamil Nadu,Virudhunagar
Kerala,Koyilandy
Assam,Jorhat
Tamil Nadu,Karur
Tamil Nadu,Valparai
Andhra Pradesh,Srikalahasti
Kerala,Neyyattinkara
Andhra Pradesh,Bapatla
Haryana,Fatehabad
Punjab,Malout
Tamil Nadu,Sankarankovil
Tamil Nadu,Tenkasi
Maharashtra,Ratnagiri
Karnataka,Rabkavi Banhatti
Uttar Pradesh,Sikandrabad
Jharkhand,Chaibasa
Chhattisgarh,Chirmiri
Telangana,Palwancha
Odisha,Bhawanipatna
Kerala,Kayamkulam
Madhya Pradesh,Pithampur
Punjab,Nabha
Uttar Pradesh,"Shahabad, Hardoi"
Odisha,Dhenkanal
Maharashtra,Uran Islampur
Bihar,Gopalganj
Assam,Bongaigaon City
Tamil Nadu,Palani
Maharashtra,Pusad
Jammu and Kashmir,Sopore
Uttar Pradesh,Pilkhuwa
Punjab,Tarn Taran
Uttar Pradesh,Renukoot
Telangana,Mandamarri
Karnataka,Shahabad
Odisha,Barbil
Telangana,Koratla
Bihar,Madhubani
West Bengal,Arambagh
Haryana,Gohana
Rajasthan,Ladnu
Tamil Nadu,Pattukkottai
Karnataka,Sirsi
Telangana,Sircilla
West Bengal,Tamluk
Punjab,Jagraon
West Bengal,AlipurdUrban Agglomerationr
Madhya Pradesh,Alirajpur
Telangana,Tandur
Andhra Pradesh,Naidupet
Tamil Nadu,Tirupathur
Haryana,Tohana
Rajasthan,Ratangarh
Assam,Dhubri
Bihar,Masaurhi
Gujarat,Visnagar
Uttar Pradesh,Vrindavan
Rajasthan,Nokha
Andhra Pradesh,Nagari
Haryana,Narwana
Tamil Nadu,Ramanathapuram
Uttar Pradesh,Ujhani
Bihar,Samastipur
Uttar Pradesh,Laharpur
Maharashtra,Sangamner
Rajasthan,Nimbahera
Telangana,Siddipet
West Bengal,Suri
Assam,Diphu
West Bengal,Jhargram
Maharashtra,Shirpur-Warwade
Uttar Pradesh,Tilhar
Karnataka,Sindhnur
Tamil Nadu,Udumalaipettai
Maharashtra,Malkapur
Telangana,Wanaparthy
Andhra Pradesh,Gudur
Odisha,Kendujhar
Madhya Pradesh,Mandla
Himachal Pradesh,Mandi
Kerala,Nedumangad
Assam,North Lakhimpur
Andhra Pradesh,Vinukonda
Karnataka,Tiptur
Tamil Nadu,Gobichettipalayam
Odisha,Sunabeda
Maharashtra,Wani
Gujarat,Upleta
Andhra Pradesh,Narasapuram
Andhra Pradesh,Nuzvid
Assam,Tezpur
Gujarat,Una
Andhra Pradesh,Markapur
Madhya Pradesh,Sheopur
Tamil Nadu,Thiruvarur
Gujarat,Sidhpur
Uttar Pradesh,Sahaswan
Rajasthan,Suratgarh
Madhya Pradesh,Shajapur
Odisha,Rayagada
Maharashtra,Lonavla
Andhra Pradesh,Ponnur
Telangana,Kagaznagar
Telangana,Gadwal
Chhattisgarh,Bhatapara
Andhra Pradesh,Kandukur
Telangana,Sangareddy
Gujarat,Unjha
Mizoram,Lunglei
Assam,Karimganj
Kerala,Kannur
Andhra Pradesh,Bobbili
Bihar,Mokameh
Maharashtra,Talegaon Dabhade
Maharashtra,Anjangaon
Gujarat,Mangrol
Punjab,Sunam
West Bengal,Gangarampur
Tamil Nadu,Thiruvallur
Kerala,Tirur
Uttar Pradesh,Rath
Odisha,Jatani
Gujarat,Viramgam
Rajasthan,Rajsamand
Puducherry,Yanam
Kerala,Kottayam
Tamil Nadu,Panruti
Punjab,Dhuri
Tamil Nadu,Namakkal
Kerala,Kasaragod
Gujarat,Modasa
Andhra Pradesh,Rayadurg
Bihar,Supaul
Kerala,Kunnamkulam
Maharashtra,Umred
Telangana,Bellampalle
Assam,Sibsagar
Haryana,Mandi Dabwali
Kerala,Ottappalam
Bihar,Dumraon
Andhra Pradesh,Samalkot
Andhra Pradesh,Jaggaiahpet
Assam,Goalpara
Andhra Pradesh,Tuni
Rajasthan,Lachhmangarh
Telangana,Bhongir
Andhra Pradesh,Amalapuram
Punjab,Firozpur Cantt.
Telangana,Vikarabad
Kerala,Thiruvalla
Uttar Pradesh,Sherkot
Maharashtra,Palghar
Maharashtra,Shegaon
Telangana,Jangaon
Andhra Pradesh,Bheemunipatnam
Madhya Pradesh,Panna
Kerala,Thodupuzha
Jammu and Kashmir,KathUrban Agglomeration
Gujarat,Palitana
Bihar,Arwal
Andhra Pradesh,Venkatagiri
Uttar Pradesh,Kalpi
Rajasthan,Rajgarh (Churu)
Andhra Pradesh,Sattenapalle
Karnataka,Arsikere
Maharashtra,Ozar
Tamil Nadu,Thirumangalam
Gujarat,Petlad
Rajasthan,Nasirabad
Maharashtra,Phaltan
West Bengal,Rampurhat
Karnataka,Nanjangud
Bihar,Forbesganj
Uttar Pradesh,Tundla
Bihar,BhabUrban Agglomeration
Karnataka,Sagara
Andhra Pradesh,Pithapuram
Karnataka,Sira
Telangana,Bhadrachalam
Haryana,Charkhi Dadri
Jharkhand,Chatra
Andhra Pradesh,Palasa Kasibugga
Rajasthan,Nohar
Maharashtra,Yevla
Punjab,Sirhind Fatehgarh Sahib
Telangana,Bhainsa
Andhra Pradesh,Parvathipuram
Maharashtra,Shahade
Kerala,Chalakudy
Bihar,Narkatiaganj
Gujarat,Kapadvanj
Andhra Pradesh,Macherla
Madhya Pradesh,Raghogarh-Vijaypur
Punjab,Rupnagar
Bihar,Naugachhia
Madhya Pradesh,Sendhwa
Odisha,Byasanagar
Uttar Pradesh,Sandila
Andhra Pradesh,Gooty
Andhra Pradesh,Salur
Uttar Pradesh,Nanpara
Uttar Pradesh,Sardhana
Maharashtra,Vita
Jharkhand,Gumia
Karnataka,Puttur
Punjab,Jalandhar Cantt.
Uttar Pradesh,Nehtaur
Kerala,Changanassery
Andhra Pradesh,Mandapeta
Jharkhand,Dumka
Uttar Pradesh,Seohara
Maharashtra,Umarkhed
Jharkhand,Madhupur
Tamil Nadu,Vikramasingapuram
Kerala,Punalur
Odisha,Kendrapara
Gujarat,Sihor
Tamil Nadu,Nellikuppam
Punjab,Samana
Maharashtra,Warora
Kerala,Nilambur
Tamil Nadu,Rasipuram
Uttarakhand,Ramnagar
Andhra Pradesh,Jammalamadugu
Punjab,Nawanshahr
Manipur,Thoubal
Karnataka,Athni
Kerala,Cherthala
Madhya Pradesh,Sidhi
Telangana,Farooqnagar
Andhra Pradesh,Peddapuram
Jharkhand,Chirkunda
Maharashtra,Pachora
Bihar,Madhepura
Uttarakhand,Pithoragarh
Maharashtra,Tumsar
Rajasthan,Phalodi
Tamil Nadu,Tiruttani
Punjab,Rampura Phul
Kerala,Perinthalmanna
Uttar Pradesh,Padrauna
Madhya Pradesh,Pipariya
Chhattisgarh,Dalli-Rajhara
Andhra Pradesh,Punganur
Kerala,Mattannur
Uttar Pradesh,Mathura
Uttar Pradesh,Thakurdwara
Tamil Nadu,Nandivaram-Guduvancheri
Karnataka,Mulbagal
Maharashtra,Manjlegaon
Gujarat,Wankaner
Maharashtra,Sillod
Andhra Pradesh,Nidadavole
Karnataka,Surapura
Odisha,Rajagangapur
Bihar,Sheikhpura
Odisha,Parlakhemundi
West Bengal,Kalimpong
Karnataka,Siruguppa
Maharashtra,Arvi
Gujarat,Limbdi
Assam,Barpeta
Uttarakhand,Manglaur
Andhra Pradesh,Repalle
Karnataka,Mudhol
Madhya Pradesh,Shujalpur
Gujarat,Mandvi
Gujarat,Thangadh
Madhya Pradesh,Sironj
Maharashtra,Nandura
Kerala,Shoranur
Rajasthan,Nathdwara
Tamil Nadu,Periyakulam
Bihar,Sultanganj
Telangana,Medak
Telangana,Narayanpet
Bihar,Raxaul Bazar
Jammu and Kashmir,Rajauri
Tamil Nadu,Pernampattu
Uttarakhand,Nainital
Andhra Pradesh,Ramachandrapuram
Maharashtra,Vaijapur
Punjab,Nangal
Karnataka,Sidlaghatta
Jammu and Kashmir,Punch
Madhya Pradesh,Pandhurna
Maharashtra,Wadgaon Road
Odisha,Talcher
Kerala,Varkala
Rajasthan,Pilani
Madhya Pradesh,Nowgong
Chhattisgarh,Naila Janjgir
Goa,Mapusa
Tamil Nadu,Vellakoil
Rajasthan,Merta City
Tamil Nadu,Sivaganga
Madhya Pradesh,Mandideep
Maharashtra,Sailu
Gujarat,Vyara
Andhra Pradesh,Kovvur
Tamil Nadu,Vadalur
Uttar Pradesh,Nawabganj
Gujarat,Padra
West Bengal,Sainthia
Uttar Pradesh,Siana
Karnataka,Shahpur
Rajasthan,Sojat
Uttar Pradesh,Noorpur
Kerala,Paravoor
Maharashtra,Murtijapur
Bihar,Ramnagar
Odisha,Sundargarh
West Bengal,Taki
Karnataka,Saundatti-Yellamma
Kerala,Pathanamthitta
Karnataka,Wadi
Tamil Nadu,Rameshwaram
Maharashtra,Tasgaon
Uttar Pradesh,Sikandra Rao
Madhya Pradesh,Sihora
Tamil Nadu,Tiruvethipuram
Andhra Pradesh,Tiruvuru
Maharashtra,Mehkar
Kerala,Peringathur
Tamil Nadu,Perambalur
Karnataka,Manvi
Nagaland,Zunheboto
Bihar,Mahnar Bazar
Kerala,Attingal
Haryana,Shahbad
Uttar Pradesh,Puranpur
Karnataka,Nelamangala
Punjab,Nakodar
Gujarat,Lunawada
West Bengal,Murshidabad
Puducherry,Mahe
Assam,Lanka
Uttar Pradesh,Rudauli
Nagaland,Tuensang
Karnataka,Lakshmeshwar
Punjab,Zira
Maharashtra,Yawal
Uttar Pradesh,Thana Bhawan
Karnataka,Ramdurg
Maharashtra,Pulgaon
Telangana,Sadasivpet
Karnataka,Nargund
Rajasthan,Neem-Ka-Thana
West Bengal,Memari
Maharashtra,Nilanga
Arunachal Pradesh,Naharlagun
Jharkhand,Pakaur
Maharashtra,Wai
Karnataka,Tarikere
Karnataka,Malavalli
Madhya Pradesh,Raisen
Madhya Pradesh,Lahar
Andhra Pradesh,Uravakonda
Karnataka,Savanur
Rajasthan,Sirohi
Jammu and Kashmir,Udhampur
Maharashtra,Umarga
Rajasthan,Pratapgarh
Karnataka,Lingsugur
Tamil Nadu,Usilampatti
Uttar Pradesh,Palia Kalan
Nagaland,Wokha
Gujarat,Rajpipla
Karnataka,Vijayapura
Rajasthan,Rawatbhata
Rajasthan,Sangaria
Maharashtra,Paithan
Maharashtra,Rahuri
Punjab,Patti
Uttar Pradesh,Zaidpur
Rajasthan,Lalsot
Madhya Pradesh,Maihar
Tamil Nadu,Vedaranyam
Maharashtra,Nawapur
Himachal Pradesh,Solan
Gujarat,Vapi
Madhya Pradesh,Sanawad
Bihar,Warisaliganj
Bihar,Revelganj
Madhya Pradesh,Sabalgarh
Maharashtra,Tuljapur
Jharkhand,Simdega
Jharkhand,Musabani
Kerala,Kodungallur
Odisha,Phulabani
Gujarat,Umreth
Andhra Pradesh,Narsipatnam
Uttar Pradesh,Nautanwa
Bihar,Rajgir
Telangana,Yellandu
Tamil Nadu,Sathyamangalam
Rajasthan,Pilibanga
Maharashtra,Morshi
Haryana,Pehowa
Bihar,Sonepur
Kerala,Pappinisseri
Uttar Pradesh,Zamania
Jharkhand,Mihijam
Maharashtra,Purna
Tamil Nadu,Puliyankudi
Uttar Pradesh,"Shikarpur, Bulandshahr"
Madhya Pradesh,Umaria
Madhya Pradesh,Porsa
Uttar Pradesh,Naugawan Sadat
Uttar Pradesh,Fatehpur Sikri
Telangana,Manuguru
Tripura,Udaipur
Rajasthan,Pipar City
Odisha,Pattamundai
Tamil Nadu,Nanjikottai
Rajasthan,Taranagar
Andhra Pradesh,Yerraguntla
Maharashtra,Satana
Bihar,Sherghati
Karnataka,Sankeshwara
Karnataka,Madikeri
Tamil Nadu,Thuraiyur
Gujarat,Sanand
Gujarat,Rajula
Telangana,Kyathampalle
Uttar Pradesh,"Shahabad, Rampur"
Chhattisgarh,Tilda Newra
Madhya Pradesh,Narsinghgarh
Kerala,Chittur-Thathamangalam
Madhya Pradesh,Malaj Khand
Madhya Pradesh,Sarangpur
Uttar Pradesh,Robertsganj
Tamil Nadu,Sirkali
Gujarat,Radhanpur
Tamil Nadu,Tiruchendur
Uttar Pradesh,Utraula
Jharkhand,Patratu
Rajasthan,"Vijainagar, Ajmer"
Tamil Nadu,Periyasemur
Maharashtra,Pathri
Uttar Pradesh,Sadabad
Karnataka,Talikota
Maharashtra,Sinnar
Chhattisgarh,Mungeli
Karnataka,Sedam
Karnataka,Shikaripur
Rajasthan,Sumerpur
Tamil Nadu,Sattur
Bihar,Sugauli
Assam,Lumding
Tamil Nadu,Vandavasi
Odisha,Titlagarh
Maharashtra,Uchgaon
Nagaland,Mokokchung
West Bengal,Paschim Punropara
Rajasthan,Sagwara
Rajasthan,Ramganj Mandi
West Bengal,Tarakeswar
Karnataka,Mahalingapura
Tripura,Dharmanagar
Gujarat,Mahemdabad
Chhattisgarh,Manendragarh
Maharashtra,Uran
Tamil Nadu,Tharamangalam
Tamil Nadu,Tirukkoyilur
Maharashtra,Pen
Bihar,Makhdumpur
Bihar,Maner
Tamil Nadu,Oddanchatram
Tamil Nadu,Palladam
Madhya Pradesh,Mundi
Odisha,Nabarangapur
Karnataka,Mudalagi
Haryana,Samalkha
Madhya Pradesh,Nepanagar
Maharashtra,Karjat
Gujarat,Ranavav
Andhra Pradesh,Pedana
Haryana,Pinjore
Rajasthan,Lakheri
Madhya Pradesh,Pasan
Andhra Pradesh,Puttur
Tamil Nadu,Vadakkuvalliyur
Tamil Nadu,Tirukalukundram
Madhya Pradesh,Mahidpur
Uttarakhand,Mussoorie
Kerala,Muvattupuzha
Uttar Pradesh,Rasra
Rajasthan,Udaipurwati
Maharashtra,Manwath
Kerala,Adoor
Tamil Nadu,Uthamapalayam
Maharashtra,Partur
Himachal Pradesh,Nahan
Haryana,Ladwa
Assam,Mankachar
Meghalaya,Nongstoin
Rajasthan,Losal
Rajasthan,Sri Madhopur
Rajasthan,Ramngarh
Kerala,Mavelikkara
Rajasthan,Rawatsar
Rajasthan,Rajakhera
Uttar Pradesh,Lar
Uttar Pradesh,Lal Gopalganj Nindaura
Karnataka,Muddebihal
Uttar Pradesh,Sirsaganj
Rajasthan,Shahpura
Tamil Nadu,Surandai
Maharashtra,Sangole
Karnataka,Pavagada
Gujarat,Tharad
Gujarat,Mansa
Gujarat,Umbergaon
Kerala,Mavoor
Assam,Nalbari
Gujarat,Talaja
Karnataka,Malur
Maharashtra,Mangrulpir
Odisha,Soro
Rajasthan,Shahpura
Gujarat,Vadnagar
Rajasthan,Raisinghnagar
Karnataka,Sindhagi
Karnataka,Sanduru
Haryana,Sohna
Gujarat,Manavadar
Uttar Pradesh,Pihani
Haryana,Safidon
Maharashtra,Risod
Bihar,Rosera
Tamil Nadu,Sankari
Rajasthan,Malpura
West Bengal,Sonamukhi
Uttar Pradesh,"Shamsabad, Agra"
Bihar,Nokha
West Bengal,PandUrban Agglomeration
West Bengal,Mainaguri
Karnataka,Afzalpur
Maharashtra,Shirur
Gujarat,Salaya
Tamil Nadu,Shenkottai
Tripura,Pratapgarh
Tamil Nadu,Vadipatti
Telangana,Nagarkurnool
Maharashtra,Savner
Maharashtra,Sasvad
Uttar Pradesh,Rudrapur
Uttar Pradesh,Soron
Tamil Nadu,Sholingur
Maharashtra,Pandharkaoda
Kerala,Perumbavoor
Karnataka,Maddur
Rajasthan,Nadbai
Maharashtra,Talode
Maharashtra,Shrigonda
Karnataka,Madhugiri
Karnataka,Tekkalakote
Madhya Pradesh,Seoni-Malwa
Maharashtra,Shirdi
Uttar Pradesh,SUrban Agglomerationr
Karnataka,Terdal
Maharashtra,Raver
Tamil Nadu,Tirupathur
Haryana,Taraori
Maharashtra,Mukhed
Tamil Nadu,Manachanallur
Madhya Pradesh,Rehli
Rajasthan,Sanchore
Maharashtra,Rajura
Bihar,Piro
Karnataka,Mudabidri
Maharashtra,Vadgaon Kasba
Rajasthan,Nagar
Gujarat,Vijapur
Tamil Nadu,Viswanatham
Tamil Nadu,Polur
Tamil Nadu,Panagudi
Madhya Pradesh,Manawar
Uttarakhand,Tehri
Uttar Pradesh,Samdhan
